AZNALCÁZAR, SEVILLA (2022)
AZNALCÓLLAR, SEVILLA (1995)
AZUÉBAR, CASTELLON (1995)
BADAJOZ, BADAJOZ (2001)
BADAJOZ, BADAJOZ (2004)
BADAJOZ, BADAJOZ (2017)
BADAJOZ, BADAJOZ (2017)
BAIONA, PONTEVEDRA (2006)
BALBOA, LEON (2000)
BALBOA, LEON (2002)
BALBOA, LEON (2012)
BALBOA, LEON (2017)
Baldomar (2019)
BALEIRA, LUGO (2003)
BALTAR, OURENSE (1995)
BALTAR, OURENSE (1995)
BALTAR, OURENSE (1995)
BALTAR, OURENSE (1996)
BALTAR, OURENSE (1996)
BALTAR, OURENSE (2001)
BALTAR, OURENSE (2001)
BALTAR, OURENSE (2005)
BALTAR, OURENSE (2005)
BALTAR, OURENSE (2011)
BAÑA, A, A CORUÑA (1996)
BAÑA, A, A CORUÑA (2006)
BAÑA, A, A CORUÑA (2006)
BANDE, OURENSE (1995)
BANDE, OURENSE (1998)
BANDE, OURENSE (2002)
BANDE, OURENSE (2004)
BANDE, OURENSE (2004)
BAÑOBAREZ, SALAMANCA (2020)
BAÑOS DE MOLGAS, OURENSE (2000)
BAÑOS DE MOLGAS, OURENSE (2004)
BAÑOS DE MOLGAS, OURENSE (2017)
BAÑOS DE MOLGAS, OURENSE (2017)
BARALLA, LUGO (2003)
BARCHÍN DEL HOYO, CUENCA (2019)
BARCO DE VALDEORRAS, O, OURENSE (1995)
BARCO DE VALDEORRAS, O, OURENSE (2000)
BARCO DE VALDEORRAS, O, OURENSE (2000)
BARCO DE VALDEORRAS, O, OURENSE (2000)
BARCO DE VALDEORRAS, O, OURENSE (2004)
BARCO DE VALDEORRAS, O, OURENSE (2006)
BARCO DE VALDEORRAS, O, OURENSE (2019)
BARJAS, LEON (1995)
BARJAS, LEON (1997)
BARJAS, LEON (1997)
BARJAS, LEON (1997)
BARJAS, LEON (1997)
BARJAS, LEON (1998)
BARJAS, LEON (1999)
BARJAS, LEON (2000)
BARJAS, LEON (2000)
BARJAS, LEON (2000)
BARJAS, LEON (2000)
BARJAS, LEON (2009)
BARJAS, LEON (2009)
BARJAS, LEON (2010)
BARJAS, LEON (2012)
BARRIOS DE LUNA LOS, LEON (1996)
BARRIOS DE LUNA LOS, LEON (1997)
BARRIOS DE LUNA LOS, LEON (2009)
BARRO, PONTEVEDRA (2006)
BARRO, PONTEVEDRA (2006)
BARRUECOPARDO, SALAMANCA (2001)
BARRUECOPARDO, SALAMANCA (2001)
BARX, VALENCIA (1998)
BARX, VALENCIA (1999)
BASSELLA, LLEIDA (1998)
BAZTAN, NAVARRA (2002)
BAZTAN, NAVARRA (2002)
BAZTAN, NAVARRA (2002)
BAZTAN, NAVARRA (2002)
BAZTAN, NAVARRA (2017)
BAZTAN, NAVARRA (2021)
BEADE, OURENSE (1995)
BEARIZ, OURENSE (1997)
BEARIZ, OURENSE (2006)
BECEDAS, AVILA (1995)
BECERREÁ, LUGO (1996)
BECERREÁ, LUGO (2006)
BÉDAR, ALMERIA (1999)
BEJAR, SALAMANCA (2000)
BELALCÁZAR, CORDOBA (2012)
BELALCÁZAR, CORDOBA (2021)
BELMEZ, CORDOBA (2000)
BELMONTE DE MIRANDA, ASTURIAS (1997)
BELMONTE DE MIRANDA, ASTURIAS (2002)
BELMONTE DE MIRANDA, ASTURIAS (2002)
BELMONTE DE MIRANDA, ASTURIAS (2002)
BELMONTE DE MIRANDA, ASTURIAS (2002)
BELMONTE DE MIRANDA, ASTURIAS (2011)
BELMONTE DE MIRANDA, ASTURIAS (2012)
BELMONTE DE MIRANDA, ASTURIAS (2012)
BELMONTE DE MIRANDA, ASTURIAS (2014)
BELMONTE DE MIRANDA, ASTURIAS (2014)
BELMONTE DE MIRANDA, ASTURIAS (2017)
BELMONTE DE MIRANDA, ASTURIAS (2019)
BELMONTE DE MIRANDA, ASTURIAS (2020)
BELMONTE DE MIRANDA, ASTURIAS (2022)
BEMBIBRE, LEON (1995)
BENASAL, CASTELLON (1998)
BENEIXAMA, ALICANTE (2019)
BENIARDÁ, ALICANTE (2020)
BENICOLET, VALENCIA (2011)
Terra Mítica (Benidorm 1992)
BENIGÁNIM, VALENCIA (2002)
BENIGEMBLA, ALICANTE (2002)
BENQUERENCIA DE LA SERENA, BADAJOZ (2003)
BENUZA, LEON (1995)
BENUZA, LEON (1997)
BENUZA, LEON (1997)
BENUZA, LEON (1999)
BENUZA, LEON (2000)
BENUZA, LEON (2000)
BENUZA, LEON (2000)
BENUZA, LEON (2000)
BENUZA, LEON (2005)
BENUZA, LEON (2005)
BENUZA, LEON (2005)
BENUZA, LEON (2009)
BENUZA, LEON (2009)
BENUZA, LEON (2009)
BENUZA, LEON (2010)
BENUZA, LEON (2012)
